"","회사이름","회사코드","리뷰코드","직종구분","재직상태","근무지역","등록일자","별점평가","승진기회","복지급여","워라밸","사내문화","경영진","기업장점","기업단점","바라는점","성장예상","추천여부"
"11",NA,"30139","1751829","생산/제조","전직원","경기","2020. 07. 16",100,20,100,80,80,100,"자율 출퇴근, 휴가, 연봉, 복지 정말 다 좋습니다. 출퇴근 버스까지 너무 좋아요.","직급 정체가 심합니다. 즉 현실에 안주할것인가? 아니면 새로운 무엇을 찾을건가? 스스로 고민해야 됩니다. 이것때문에 나왔습니다.","특별히 바라는건 없어요. 그들대로의 삶과 고민이 있다는걸 항상 느낍니다.","성장","이 기업을 추천 합니다!"
"12",NA,"30139","1751507","유통/무역","현직원","경기","2020. 07. 16",80,80,60,60,40,60,"회사 네임벨류로 신규 거래시 협상력이 좋음. 개발자들은 유연근무 하나 사무직은 조금은 보수적인 성향이 남아있음. 점점 바뀌는 분위기.","복지 제도가 생각보다 부실함. 업무강도는 부서마다 다르나 어느정도 있는편이고 사업부간 격차가 심한 점이 단점","사업부간 격차가 느껴지는 부분에 있어 균등하게 운영되면 좋겠음","비슷","이 기업을 추천 합니다!"
"13",NA,"30139","1751408","IT/인터넷","전직원","경북","2020. 07. 16",80,60,80,60,80,80,"일단 급여가 좋고 사람들이 항상 하는 말처럼 신랑감 1위로 올라갈수있는 지름길이 됩니다. 그리고 일단 전자제품 할인 해택을 볼수가 있기 때문에 애플을 사게 됩니다.","일단 업무량이 너무 많아서 정신이 없이 지낼떄가 굉장히 많아요. 물론 그걸 뿌듯하게 느끼는 사람들도 있겠지만 저같은 경우에는 정말 많은 스트레스를 받아서 케바케인것 같아요","바라는 점은 없습니다. 다만 더 디자인이 좋은 핸드폰을 출시해주셨으면 좋겠습니다.항상 열심히 하는 모습 보기 좋습니다.","성장","이 기업을 추천하지 않습니다."
"14",NA,"30139","1750965","엔지니어링","현직원","경기","2020. 07. 15",60,60,80,80,80,40,"적당함. 부조리 많지 않음. 성과지향. 성과를 낸다면 열매는 달콤할것.","성과지향으로 인한 팍팍함. 업무중에 짜증내는사람 많음.","뭘 바란다고 들어주진 않을거다.돈도 많이버는데 사람좀 충원하고 복지좀늘려줘","비슷","이 기업을 추천 합니다!"
"15",NA,"30139","1749641","디자인","전직원","서울","2020. 07. 15",100,100,100,100,100,100,"역시 삼성이라는 말이 잘 어울리듯 엄청난 혜택과 복지 또 연봉이 따라온다. 또한 점심이 매우 맛있고 항상 성장 가능성이 가득하다.","단점은 너무나 많은 엘리트들이 있다보니 학벌이 조금이라도 나쁘면 열등감을 느끼게 된다. 다들 괜찮다고 하지만 그래도 좀 그렇다","역시 삼성이라는 말이 잘 어울리듯 경영진들 또한 매우 훌륭하다","성장","이 기업을 추천 합니다!"
"16",NA,"30139","1749594","IT/인터넷","현직원","경기","2020. 07. 15",80,80,100,80,100,80,"자율출퇴근제 및 만족스러운 보너스 연봉","페이퍼워크가 많고 루팡이많아 잘못걸리면 일을 다해야함","업무분배가 효율적으로 이루어지면 좋겠음","성장","이 기업을 추천 합니다!"
"17",NA,"30139","1749551","생산/제조","전직원","경기","2020. 07. 15",60,60,60,60,60,60,"대기업은 역시 대기업이다 복지도 괜찮고 급여도 괜찮다..","힘들다 수명이 짧아진다 그냥 힘들다 하..힘들다 힘들다","딱히..............................","비슷","이 기업을 추천 합니다!"
"18",NA,"30139","1749344","경영/기획/컨설팅","전직원","대구","2020. 07. 14",60,80,80,80,80,80,"자유로운 출퇴근 하지만 엄청나게 많은업무 집에가서 일뷰터 해야하는.   하지만 미래지향적인 화사","일이많음 챙겨줄거 다챈겨줌 젊고 ㅣ힘있으면 추천하고싶은 회사 하지만 여자는 고민해보시길","합리적인 업무량과 시간 배정만 한다면 모두가 긍정적으로 다닐수 있는 회사","비슷","이 기업을 추천하지 않습니다."
"19",NA,"30139","1749077","IT/인터넷","현직원","경기","2020. 07. 14",80,80,100,80,100,80,"기업문화, 복지, 급여 등 이보다 나은 조건의 회사를 찾기 어렵다.","제조업이기에 개발자가 이직할 수 있는 직종과 회사가 적다는 것이 단점이다.","성과가 나오는 만큼 직원들에게 많은 보상이 돌아갔으면 좋겠다","성장","이 기업을 추천 합니다!"
"20",NA,"30139","1746934","IT/인터넷","전직원","경기","2020. 07. 13",60,60,80,60,80,80,"해외로 파견 기회가 주어질 수 있으며, 연봉이 높다상여금도 많이 주고, 프로젝트를 맡아서 하며 많은 경험을 쌓을 수 있다.","연봉이 많지만 그만큼 힘든 업무가 많고,나만의 시간을 가질 여유가 없다복지를 즐길 시간도 없다","직원들 한명한명을 지켜봐주시길 바랍니다한명 한명에게 기회를 주시기 바랍니다","성장","이 기업을 추천 합니다!"
"21",NA,"30139","1746347","IT/인터넷","현직원","경기","2020. 07. 13",60,60,80,80,80,60,"밖에서 보여지는 이미지보다 생각보다 수평적인 조직문화를 가지고있다. 사내에 병원 약국 헬스장 등 편의시설이 잘되어있다","업무가 너무 세분화되어있어서 부품이 된 느낌을 자주 받는다. 일에서 성취감을 느끼기 힘들다.","임원이 바뀔때마다 방향이 흔들리지 않고 더 거시적인 차원에서 철학을 가지고 제품을 만들었음 좋겠다",NA,"이 기업을 추천 합니다!"
"22",NA,"30139","1744864","연구개발","현직원","경기","2020. 07. 12",60,80,80,40,80,80,"같이 일하는 동료들의 능력, 인성이 좋다.노는?사람이 적은편..","말도 안되는 목표수립 후 성취를 위한 내리 갈굼식 문화.정말 중요한 과제와 업무들이 소수의 사람들에게 몰려져있음.일할시간보다 자료작성이 뺏기는 시간이 많음.(윗사람 주관 회의 다수)책임이상된 사람들은 여전히 보수적임 (눈치성잔업존재. 제발좀가라.. 근무시간제외하면서 하는거 하나도 안멋있어)","개같이 굴려서 하는 방식에서 탈피해야된다.근본적인 설계능력 향상이 필요함.주말근무 제발없애길 외국 동종업계 회사와 비교하면 한없이 부족","성장","이 기업을 추천 합니다!"
"23",NA,"30139","1744712","연구개발","현직원","경기","2020. 07. 12",80,80,80,60,80,80,"전부 다라고는 할 수 없지만 실력 좋은 사람들이 모여 있어 챌린지를 받는 곳. 다른 기업들도 복지는 좋아졌지만 자율출퇴근 등 여러가지 급여 혜택이 있는곳","기본급이 낮아 성과급이 한번 꺾이기 시작하면 타격이 크다.","영업이익을 임직원에게도 좀 나눠줬으면..","비슷","이 기업을 추천 합니다!"
"24",NA,"30139","1743245","IT/인터넷","현직원","경기","2020. 07. 10",60,60,80,40,60,40,"최대기업으로 원하는 경우 다양한 경험이 가능하고 교육 및 업무 상 다양한 기회가 가능","심한 경쟁 분위기 늘 긴급 이슈를 안고 있어 마음의 여유가 없음 대부분 회사내에서 지냄","좀 더 현실적인 워라밸을 위해서 위에서 부터 노력해야할 필요가 있음","비슷","이 기업을 추천하지 않습니다."
"25",NA,"30139","1742916","디자인","전직원","서울","2020. 07. 10",80,80,40,40,40,40,"연차를 쓸때 별다른 터치를 안합니다 하지만 눈치껏 행동해야하는 문화가 조금 있습니다.돈을 많이 줍니다.","지시가 많아서 본업이외의 다른 잔업을 할때가 많습니다. 신입이시라면 사소한 일이라도 스트레스받지마시고 그냥 내일이다 하신느게 속편합니다.","신입들은 잘 모르는게 당연한데 혼내지 않았으면 좋겠습니다. 알려주는거하고 갈구는건 다르니까요 .","성장","이 기업을 추천 합니다!"
"26",NA,"30139","1742556","금융/재무","전직원","서울","2020. 07. 10",100,100,100,100,100,100,"월급이 많아요 좋아요집과 가깝고 좋아요너무감사합니다","일이많아요너무너무ㅜㅜㅜㅜ많아요!!!힘들어요!!!!","좋게만들어주세요월급높여주세요!!!!!!","성장","이 기업을 추천 합니다!"
"27",NA,"30139","1742390","생산/제조","현직원","경기","2020. 07. 10",60,60,100,80,20,80,"자율 출퇴근제로 지각시 연차 사용 X, 복지와 급여 괜찮음.","까라면 까야하는 분위기에 업무 돌리기, 쓸데없는 메일 포워딩","환경안전/원가절감에만 너무 많은 신경을 쏟아 정작 품질엔 많은 지원을 안해줌.","비슷","이 기업을 추천 합니다!"
"28",NA,"30139","1742033","IT/인터넷","현직원","경기","2020. 07. 09",80,60,100,100,100,60,"자율출퇴근제 복지 아침점심저녁 무료제공셔틀버스아주맛있는밥","고과몰아주기수직구조연차가 쌓일수록 일을 못함보여주기식 보고와 지표","업무분배가 효율적이었으면좋겠고보여주기식 지표 측정 그만했으면좋겠어요",NA,"이 기업을 추천 합니다!"
"29",NA,"30139","1740643","연구개발","현직원","경기","2020. 07. 09",80,60,60,80,60,60,"회사가 수평적으로 되어가고 있으며 다양한 복지 혜택이나 삼시세끼가 무료로 제공되는 것은 정말 좋다. 또한 부서 간에 이동이 쉬우며 규모가 크다보니 서버, 클라이언트, 시큐리티, 임베디드, 칩 설계 등 모든 걸 다 해볼 수 있다.","부서마다 정치가 심하거나 일 안하고 노는 사람들이 꼭 있다. 특히 정치질 심한 곳들을 겪어보면 이게 일하는 회사인지 정치하는 곳인지 모를 정도이며 무능력한 사람도 많다.","너무 짧은 기간의 성과만 바라보지 말고 조금 더 중장기적인 성과나 시야를 가졌으면 좋겠다. 그리고 제발 사내정치 근절 좀 했으면 좋겠다.","비슷","이 기업을 추천 합니다!"
"30",NA,"30139","1740325","전문직","전직원","경기","2020. 07. 09",80,40,60,100,60,60,"식사가 잘 나옴, 업무분담이 잘 돼 있음, 전체적으로 사람들이 괜찮음, 셔틀이 다님","계약직과 정규직이 이용할 수 있는 서비스가 달라 가끔 서러울 수 있음, 고여있는 물이 될 수 있음","파견회사 안 썼으면 좋겠음 삼성에서 퇴직한 사람들이 거기로 가던데 정말 기분 나쁜 구조임","비슷","이 기업을 추천하지 않습니다."
"31",NA,"30139","1739607","IT/인터넷","현직원","경기","2020. 07. 08",80,80,100,80,100,20,"연차 자율수평적 문화복지좋음자율출퇴근제수도권 근무","연봉이 ps에 크게 좌우됨요즘 원가절감 등으로 야근하고도 야근비 못올림인사팀 지원팀의 적폐가 심함","말해봤자 들은척도안함소통의 부재일방적 통보로 시작되는 사업부 매각 등","비슷","이 기업을 추천 합니다!"
"32",NA,"30139","1739088","생산관리/품질관리","전직원","경기","2020. 07. 08",60,60,80,40,60,60,"최고의 복지가 돈이라 하듯 대부분의 기업보다는 나은 복지","부서에 따라 분위기 차이가 매우 매우 심하며 워라밸은 대부분 부서에서는 포기해야함.","지금대로만하면 앞으로도 꾸준히 살아 남을듯","성장","이 기업을 추천 합니다!"
"33",NA,"30139","1737810","마케팅/시장조사","전직원","경기","2020. 07. 07",60,60,80,80,40,40,"사업기반이 안정적이고 체계적인 교육시스템이 있어 신입에게 도움이 잘 된다. 고객 상담하는 데 일은 힘들었지만 복지에 대해서 만큼은 좋았다.","출근 시간은 8시인데 퇴근 시간은 내가 정할 수가 없었다. 연차도 사람들 보면서 써야해서 연차가 있는지도 모르겠다","군대같은 문화가 줄었으면 한다. 위계질서가 아직까지도 확립되어 있어 너무 힘들었다","성장","이 기업을 추천 합니다!"
"34",NA,"30139","1737465","전문직","전직원","경기","2020. 07. 07",100,60,100,100,100,100,"자기계발비용 지원, 사내 헬스장, 사내동호회, 수영장 사용 가능, 의료지원 등","단점은 딱히 없었던 것 같음, 사업장 규모가 커서 출퇴근 시 사업장 벗어나는 데에 시간이 많이 소요된다는 것, 안건이 정리된다면 금방 마칠 수 있는 회의가 이따금 길어진다는 점. 허나 이는 관리자 역량이니...","전문직 인력관리에 힘써줬으면 좋겠다.","비슷","이 기업을 추천 합니다!"
"35",NA,"30139","1736833","마케팅/시장조사","현직원","경기","2020. 07. 07",80,40,80,80,60,40,"뛰어난 복지, 안정성, 높은 수준의 워라밸.사회적으로 괜찮은 타이틀.","무언가 보고 배울만한 사람들이 많지 않다.creative를 요구하면서 정작 하던대로 기존의 방식을 고집한다","되도 않는 요구만 하지 말고 자기 주장 굽힐 땐 굽히고, 아랫사람들한테 배울 건 배운다는 마인드를 좀 가지길.","비슷","이 기업을 추천 합니다!"
"36",NA,"30139","1735466","엔지니어링","현직원","경기","2020. 07. 06",80,80,80,80,80,80,"동종 업계중 많은 연봉 그리고 많은걸 배워 나갈수 있는 환경","높은 연봉 만큼이나 워라벨 보장이 힘듬 그리고 몇몇 사수들의 비위맞추기","굳이 없지만 말하자면 효율적인 일을 위해서 주4일제 근무","성장","이 기업을 추천 합니다!"
"37",NA,"30139","1735188","IT/인터넷","현직원","경기","2020. 07. 06",80,40,100,80,80,20,"복지 등의 제도는 알려진 만큼 괜찮은편.최근 나름 좋아지려함.","정치를 꼭 해야 살아남을 것 같은 분위기. 절대로 똑바로 고과에 반영되지 않는 개인의 실력과 성과","기술자가 오래되면 노하우가 쌓이는데 관리자 시키려 하지 말자.멀리보고 장기간 투자하자.","비슷","이 기업을 추천 합니다!"
"38",NA,"30139","1734176","유통/무역","전직원","경기","2020. 07. 05",80,80,80,100,100,60,"자율 출퇴근제가 정말 잘 정착됐고, 언론을 의식해서인지 다른 문화도 나날이 좋아지는 중.","최근의 고용 축소로 관리자-실무자 밸런스가 악화되어 젊은 사람들이 업무는 많이 하면서도 진급은 점점 요원해져 가는 중.직원들에게는 평등하고 자유로운 소통을 강조하지만 중요한 결정은 여전히 탑다운 방식으로 진행되어 신제품의 디자인이나 서비스가 점점 트렌드를 역행하는 중.","프리미엄 제품군과 양산용 제품군을 차별화하려면 프리미엄 제품의 스펙을 월등하게 개선해야 하지 양산용을 다운그레이드하면 안 됩니다;;",NA,"이 기업을 추천 합니다!"
"39",NA,"30139","1733858","연구개발","현직원","경기","2020. 07. 05",80,60,80,60,60,100,"잘나올땐잘나오는 ps  가전제품할인자율출퇴근제. 맛난밥. 출퇴근버스","케바케인 조직문화. 성과급 산정방식 불투명. 네임벨류에비해 적은연봉","불합리한 조직문화 개선. 기본급인상. 남성 휴직확대.","비슷","이 기업을 추천 합니다!"
"40",NA,"30139","1733767","생산관리/품질관리","현직원","경기","2020. 07. 05",60,60,60,60,60,60,"연봉이엿으나 최근 성과금이 많이 줄어실 수령금액이 탑급은 아님","부바부가 너무심함 규모가 크다보니 부서마다 파트마다 업무의 강도나 복지 수준이 차이가 남","임직원 복지와 연봉에 더 신경써주는게 가장 베스트영업이익을 나눠야지","비슷","이 기업을 추천 합니다!"
"41",NA,"30139","1733488","경영/기획/컨설팅","전직원","서울","2020. 07. 04",100,60,100,100,100,100,"연차를 윗사람 눈치 보지 않고 쓸 수 있음. 자기 계발하기에 좋고, 입사한다면 후회하지는 않을 것임.","승진이 좀 힘들다는 점과, 정년이 보장되기 힘들다는 점이 현실적으로 어쩔 수 없다고 생각하지만 아쉽게 느껴질 수 있음.","지금처럼 좋은 경영을 하길 바라고, 사원들의 복지 수준을 조금만 더 높여주었으면 좋겠음.","성장","이 기업을 추천 합니다!"
"42",NA,"30139","1733249","IT/인터넷","현직원","충남","2020. 07. 04",80,60,100,80,60,60,"연봉과 복지가 좋고 비슷한 직종에 비해 근무강도가 크게 세지 않습니다.","추후 이직이나 개인적으로 끊임없는 성장이나 발전을 추구하는 분에게는 단점이 될 수 있습니다.","별도로 없습니다. 지금 해왔던 것처럼 신규 사업 발굴에 힘써주세요.","성장","이 기업을 추천 합니다!"
"43",NA,"30139","1732734","미디어/홍보","전직원","서울","2020. 07. 04",80,60,100,60,60,60,"최고의 복지는 돈이죠. 돈 많이 줘서 좋습니다. 더 말이 필요한가요..?","최고의 장점이자 단점은 돈 많이 주는 만큼 힘들다는거....","사실 조금밖에 일하지 않아서 바라는점은 없을만큼 괜찮았습니다.","비슷","이 기업을 추천 합니다!"
"44",NA,"30139","1732008","엔지니어링","전직원","경기","2020. 07. 03",80,80,80,80,80,80,"복지가 좋으며, 조직 문화와 인센티브 성과급등 우수하며승진의기회가 평등하며, 교육 기회가 많아 향상 성장 할 수 있는 문화임","특별히 단점은 없으나, 사내 상사의 평가가 편향된 부분이 좀 있으나, 특정인만의 문제로전체적으로 평등하게 평가가 이루어짐","임직원의 고충을 잘 처리해주고있으며, 삶을 질을 높힐 수 있도록 항상 고민하고실행하는 것을 지금과같이 지속적으로 해주면 좋겠다","성장","이 기업을 추천 합니다!"
"45",NA,"30139","1730552","IT/인터넷","전직원","서울","2020. 07. 02",80,60,100,60,60,80,"복지가 좋아요. 직원들만 구입할 수 있는 사이트에서 포인트로 구매가능해요~","업무 열정이 높다보니 다들 퇴근 안하고 시키지 않아도 야근을 합니다ㅎㅎ","복지도 만족스럽고 근무환경도 나쁘다고 여길 부분이 없어서 바라는 점도 없었습니다.","성장","이 기업을 추천 합니다!"
"46",NA,"30139","1728096","연구개발","전직원","경기","2020. 07. 01",40,80,100,20,60,40,"최대 기업답게 배울 수 있는 것들 많음. 복지수준 및 성과금 높음.","워라밸이 직무와 부서에 따라 극과극으로 나뉜다. 또한 전 부서 통틀어 고강도의 경쟁구도가 많이 힘들다","제도적인 부분은 개선하려 계속 노력하지만 개개인 세세한 부분을 챙겨주는 부분이 부족함.","비슷","이 기업을 추천하지 않습니다."
"47",NA,"30139","1727935","IT/인터넷","현직원","경기","2020. 07. 01",100,100,100,100,100,100,"글로벌 1위 기업의 분위기가 있음. 절대 국내 짜투리 회사 느낌이 안남. 국내 최고의 인재들이 모여있음. 부족해보이는 사람도 밖에 나가면 에이스. 좋은 사람이 많다는게 최고장점.","계약직 임원제도의 특성 상 단기 이윤창출에는 특화되어 있으나 큰 그림을 보고 위험을 감수해 가는 긴 프로젝트에 약점이 있음","장기 프로젝트를 밀어붙일수 있으면 좋겠음. 지금은 길어봐야 1년인데 더 긴 시간이 필요한 플젝도 있음.","성장","이 기업을 추천 합니다!"
"48",NA,"30139","1727470","생산/제조","현직원","경기","2020. 06. 30",60,80,80,60,60,40,"연봉이 나쁘지 않음. 회사 크기와 인지도를 생각하면 상당히 불만족스러울 수 있으나 대한민국에서 나쁘지 않은 편임. 대기업이라 고용이 안정적임. 적당한 복지혜택.","군대식 문화로 윗사람을 위한 보고문화와 자료작성 등 비효율적 업무가 많음. 연차 외에 휴가 등 없음. 회사 우선주의.","제발 옛날마인드 가진 임원들은 그만 집에 가던가 생각을 바꾸던가 해줬으면 좋겠음. 아랫사람들은 끊임없이 변화하고 기업 생태계도 변화하며, 오너 또한 그런걸 원하는것 같지만 대부분 임원들은 아직도 꼰대 그 이상도 이하도 아님.","비슷","이 기업을 추천 합니다!"
"49",NA,"30139","1727413","법률/법무","전직원","경기","2020. 06. 30",100,80,100,80,100,100,"국내 최고의 IT 회사로서, 그에 걸맞는 연구개발능력 및 스탭 조직을 보유하고 있음","단점을 거의 보이지 않음. 성과주의가 단점일 순 있지만 앞으로의 방향이라고 생각함","없음. 지금처럼 계속 잘 회사를 끌어주시길...","성장","이 기업을 추천 합니다!"
"50",NA,"30139","1727318","경영/기획/컨설팅","전직원","해외","2020. 06. 30",60,60,60,20,80,60,"연봉 높고 복지 혜택 좋고  네임밸류가 있어 어디가서 꿀리지 않음.대기업인만큼 프로세스나 시스템 등이 쳬계적으로 갖춰져있다.","야근 세계적인 기업이나 업무문화는 완전 80년대 로컬기업","정해진 답만 들으려하지말고, 탑다운 상명하복 문화에서 벗어나 오픈되고 플렉서블한 기업이 되었으면 좋겠습니다.  설마 거르고 걸러서 다 가공된 윗선에 보고되는 내용만 믿으시는건 아니겠지요?","비슷","이 기업을 추천 합니다!"
"51",NA,"30139","1727166","경영/기획/컨설팅","전직원","서울","2020. 06. 30",80,80,80,80,60,80,"안정적이고 글로벌한 업무를 할 수 있다. 그리고 회사가 체계적인 관리시스템으로 움직이기 때문에 보다 안정적인 근무가 가능하다. 국내 최고의 회사라는 브랜드적인 장점도 있다.","편하게 회사생활을 할 수도 있지만 진급하려면 꽤 열심히 일해야 한다. 특히 과장 이상부터는 경쟁이 꽤 심하다. 체계적인 관리시스템이 새로운 업무, 새로운 도전을 할 때는 걸림돌로 작용한다. 그래서 새로운 비즈니스를 진행하기 어렵다.","자율성이 좀 더 보장되고 사내 경쟁 구도가 조금 완화되었으면 한다. 하지만 이런 것들이 삼성의 원동력이라 적절하게 조절이 필요할 것이다.","비슷","이 기업을 추천 합니다!"
